title,price,description,carat_weight,center_stone_shape,carat_material,photo_link,width,approx,metal,gold,copper,zinc,nickle,color_accent_tags,clarity_accent_tags,profile,carat,color,clarity,Url
The Razor Kamellie Set With A 1.5 Carat Radiant Lab Diamond,"$2,300",slim knife-edge band,1.5,Radiant,14k Rose Gold,"['https://cdn.shopify.com/s/files/1/0039/6994/1568/files/294Q-ER-RAD-RG-G2c_6e7037ac-27a2-4133-9a06-dc9af3b2d915_3x_jpg.webp?v=1690908784&width=800&height=800&crop=center', 'https://cdn.shopify.com/s/files/1/0039/6994/1568/files/294Q-ER-RAD-RG-G5d_d8da9278-2bad-4aae-aaca-d7221720512a_3x_jpg.webp?v=1690908784&width=800&height=800&crop=center', 'https://cdn.shopify.com/s/files/1/0039/6994/1568/files/254d6bbe3986d628371ce6813f831bc5_7255ce78-b3e2-4809-97a4-d00a8dcd2c95.jpg?v=1693934008&width=800&height=800&crop=center', 'https://cdn.shopify.com/s/files/1/0039/6994/1568/files/254d6bbe3986d628371ce6813f831bc5_7255ce78-b3e2-4809-97a4-d00a8dcd2c95.jpg?v=1693934008&width=800&height=800&crop=center', 'https://cdn.shopify.com/oxygen-v2/24658/9071/18525/874632/build/_assets/hand-with-setting-23F6JYZ6.png', 'https://cdn.shopify.com/oxygen-v2/24658/9071/18525/874632/build/_assets/RadiantShapeStoneSolo-Y545I2FE.png', 'https://cdn.shopify.com/s/files/1/0039/6994/1568/files/294Q-ER-RAD-RG-G5b_04c83f5e-a26b-4d5a-8c22-f0e62026c9f4_3x_jpg.webp?v=1690908785&width=800&height=800&crop=center']",1.8mm,0.12 ct,14k Rose Gold,58.5% Gold,36.3% Copper,3.7% Silver,1.4% Zinc,D-F,VVS,High,1.5,D-F,VS,https://keyzarjewelry.com/products/the-razor-kamellie-setting-radiant-14k-rose-gold-1-5-carat-lab-diamond
The Razor Kamellie Set With A 1.5 Carat Pear Lab Diamond,"$2,600",slim knife-edge band,1.5,Pear,18k Yellow Gold,"['https://cdn.shopify.com/s/files/1/0039/6994/1568/files/294Q-ER-PS-YG_att0CNYVarjLiTd1Y_c708f6ff-e6f9-4530-ac54-9751c3f7b431.jpg?v=1714945156&width=800&height=800&crop=center', 'https://cdn.shopify.com/s/files/1/0039/6994/1568/files/61f9b5a788ca93f1deb7cfafb2130e98_ed8558df-ad3d-4524-82e5-07fea27c0fea.jpg?v=1693934023&width=800&height=800&crop=center', 'https://cdn.shopify.com/s/files/1/0039/6994/1568/files/61f9b5a788ca93f1deb7cfafb2130e98_ed8558df-ad3d-4524-82e5-07fea27c0fea.jpg?v=1693934023&width=800&height=800&crop=center', 'https://cdn.shopify.com/oxygen-v2/24658/9071/18525/874632/build/_assets/hand-with-setting-23F6JYZ6.png', 'https://cdn.shopify.com/oxygen-v2/24658/9071/18525/874632/build/_assets/PearShapeStoneSolo-KJBN2N2V.png', 'https://cdn.shopify.com/s/files/1/0039/6994/1568/files/294Q-ER-PS-YG_attgRZs8JeH5mg3vC_4934d8ad-d500-43c9-9b2b-6ba881f1e1ef.jpg?v=1714945157&width=800&height=800&crop=center']",1.8mm,0.12 ct,18k Yellow Gold,75% Gold,11.5% Copper,12.5% Silver,1% Zinc,D-F,VVS,High,1.5,D-F,VS,https://keyzarjewelry.com/products/the-razor-kamellie-setting-pear-18k-yellow-gold-1-5-carat-lab-diamond
The Razor Kamellie Set With A 1.5 Carat Radiant Lab Diamond,"$2,300",slim knife-edge band,1.5,Radiant,14k Yellow Gold,"['https://cdn.shopify.com/s/files/1/0039/6994/1568/files/294Q-ER-RAD-YG_atthhuf2UwsmjoGpp_ad9e87d0-b34f-4f4c-bc1b-accf2f86fa43.jpg?v=1714945152&width=800&height=800&crop=center', 'https://cdn.shopify.com/s/files/1/0039/6994/1568/files/61f9b5a788ca93f1deb7cfafb2130e98_8d039327-aa66-4d63-b7ca-1faa5a366b70.jpg?v=1693934036&width=800&height=800&crop=center', 'https://cdn.shopify.com/s/files/1/0039/6994/1568/files/61f9b5a788ca93f1deb7cfafb2130e98_8d039327-aa66-4d63-b7ca-1faa5a366b70.jpg?v=1693934036&width=800&height=800&crop=center', 'https://cdn.shopify.com/oxygen-v2/24658/9071/18525/874632/build/_assets/hand-with-setting-23F6JYZ6.png', 'https://cdn.shopify.com/oxygen-v2/24658/9071/18525/874632/build/_assets/RadiantShapeStoneSolo-Y545I2FE.png', 'https://cdn.shopify.com/s/files/1/0039/6994/1568/files/294Q-ER-RAD-YG_attFp3TKLtXslAES4_6ba7813b-48d6-4f8d-8dfd-3f061b8aab25.jpg?v=1714945153&width=800&height=800&crop=center']",1.8mm,0.12 ct,14k Yellow Gold,58.5% Gold,30.5% Copper,6.1% Silver,4.7% Zinc,D-F,VVS,High,1.5,D-F,VS,https://keyzarjewelry.com/products/the-razor-kamellie-setting-radiant-14k-yellow-gold-1-5-carat-lab-diamond
The Zoey Set With A 1.5 Carat Elongated Cushion Lab Diamond,"$3,350",criss-cross engagement ring,1.5,Elongated Cushion,18k Rose Gold,"['https://cdn.shopify.com/s/files/1/0039/6994/1568/files/290Q-RG_080_3x_jpg_836dfb31-4dba-4494-b79f-2bdd33ead635.webp?v=1690864035&width=800&height=800&crop=center', 'https://cdn.shopify.com/s/files/1/0039/6994/1568/files/290Q-RG_083_3x_jpg_40b0b3ed-cffe-4e39-b035-6db04a1a2660.webp?v=1690864036&width=800&height=800&crop=center', 'https://cdn.shopify.com/s/files/1/0039/6994/1568/files/04a8210757202c8a35b61763d052584c_c334e89f-ee16-4340-b25f-dbfa34395eef.jpg?v=1693996014&width=800&height=800&crop=center', 'https://cdn.shopify.com/s/files/1/0039/6994/1568/files/04a8210757202c8a35b61763d052584c_c334e89f-ee16-4340-b25f-dbfa34395eef.jpg?v=1693996014&width=800&height=800&crop=center', 'https://cdn.shopify.com/oxygen-v2/24658/9071/18525/874632/build/_assets/hand-with-setting-23F6JYZ6.png', 'https://cdn.shopify.com/oxygen-v2/24658/9071/18525/874632/build/_assets/ElongatedCushionShapeStoneSolo-C2FGNMKS.png', 'https://cdn.shopify.com/s/files/1/0039/6994/1568/files/290Q-RG_077_3x_jpg_fd0e0df8-e28d-4650-b43c-481fb6e37a16.webp?v=1690864036&width=800&height=800&crop=center']",2.0mm,0.35 ct,18k Rose Gold,75% Gold,21.8% Copper,2.2% Silver,0.8% Zinc,D-F,VVS,High,1.5,D-F,VS,https://keyzarjewelry.com/products/the-zoey-setting-elongated-cushion-18k-rose-gold-1-5-carat-lab-diamond
The Razor Kamellie Set With A 1.5 Carat Round Lab Diamond,"$2,600",slim knife-edge band,1.5,Round,18k Yellow Gold,"['https://cdn.shopify.com/s/files/1/0039/6994/1568/files/294Q-ER-R-YG-G2c_2202e7bf-8a99-49b7-8c2e-b19d778d5553_3x_jpg.webp?v=1690908686&width=800&height=800&crop=center', 'https://cdn.shopify.com/s/files/1/0039/6994/1568/files/294Q-ER-R-YG-G5d_4a1d4c47-6923-42b1-a11f-63e438ee7b25_3x_jpg.webp?v=1690908686&width=800&height=800&crop=center', 'https://cdn.shopify.com/s/files/1/0039/6994/1568/files/61f9b5a788ca93f1deb7cfafb2130e98.jpg?v=1693934018&width=800&height=800&crop=center', 'https://cdn.shopify.com/s/files/1/0039/6994/1568/files/61f9b5a788ca93f1deb7cfafb2130e98.jpg?v=1693934018&width=800&height=800&crop=center', 'https://cdn.shopify.com/oxygen-v2/24658/9071/18525/874632/build/_assets/hand-with-setting-23F6JYZ6.png', 'https://cdn.shopify.com/oxygen-v2/24658/9071/18525/874632/build/_assets/RoundShapeStoneSolo-MHTOVVUU.png', 'https://cdn.shopify.com/s/files/1/0039/6994/1568/files/294Q-ER-R-YG-G5b_be2b3ed2-c1b3-4ba2-ba5e-98cdad374b94_3x_jpg.webp?v=1690908686&width=800&height=800&crop=center']",1.8mm,0.12 ct,18k Yellow Gold,75% Gold,11.5% Copper,12.5% Silver,1% Zinc,D-F,VVS,High,1.5,D-F,VS,https://keyzarjewelry.com/products/the-razor-kamellie-setting-round-18k-yellow-gold-1-5-carat-lab-diamond
The Zoey Set With A 1.5 Carat Oval Lab Diamond,"$3,050",criss-cross engagement ring,1.5,Oval,14k White Gold,"['https://cdn.shopify.com/s/files/1/0039/6994/1568/files/290Q-WG_055_e8fb522f-32e5-4257-99e6-7b8ced446ed7_3x_jpg.webp?v=1690863990&width=800&height=800&crop=center', 'https://cdn.shopify.com/s/files/1/0039/6994/1568/files/290Q-WG_058_87f8701b-89b7-4087-85e3-d347bdd03618_3x_jpg.webp?v=1690863990&width=800&height=800&crop=center', 'https://cdn.shopify.com/s/files/1/0039/6994/1568/files/8cc80d5cfd2a383ae98b5768dec1e95f_59cfe247-7f7d-45ee-b686-4928c45a0015.jpg?v=1693995974&width=800&height=800&crop=center', 'https://cdn.shopify.com/s/files/1/0039/6994/1568/files/8cc80d5cfd2a383ae98b5768dec1e95f_59cfe247-7f7d-45ee-b686-4928c45a0015.jpg?v=1693995974&width=800&height=800&crop=center', 'https://cdn.shopify.com/oxygen-v2/24658/9071/18525/874632/build/_assets/hand-with-setting-23F6JYZ6.png', 'https://cdn.shopify.com/oxygen-v2/24658/9071/18525/874632/build/_assets/OvalShapeStoneSolo-MUTZKHQT.png', 'https://cdn.shopify.com/s/files/1/0039/6994/1568/files/290Q-WG_052_dfd2ae4e-36c6-4975-838e-6b0e5df2966b_3x_jpg.webp?v=1690863990&width=800&height=800&crop=center']",2.0mm,0.35 ct,14k White Gold,58.5% Gold,25.4% Copper,8.7% Zinc,7.3% Nickel,D-F,VVS,High,1.5,D-F,VS,https://keyzarjewelry.com/products/the-zoey-setting-oval-14k-white-gold-1-5-carat-lab-diamond
The Zoey Set With A 1.5 Carat Elongated Cushion Lab Diamond,"$3,350",criss-cross engagement ring,1.5,Elongated Cushion,18k Yellow Gold,"['https://cdn.shopify.com/s/files/1/0039/6994/1568/files/290Q-YG_081_3x_jpg_3443d089-35eb-42a7-9b08-91f641f8dc22.webp?v=1690864037&width=800&height=800&crop=center', 'https://cdn.shopify.com/s/files/1/0039/6994/1568/files/290Q-YG_084_3x_jpg_22e74b17-ccd0-4c44-9934-37cd260e8fc0.webp?v=1690864038&width=800&height=800&crop=center', 'https://cdn.shopify.com/s/files/1/0039/6994/1568/files/6b32d6634dec0c6154b0217ac8192af7_f141a1af-f220-444f-96d3-d70536799ab8.jpg?v=1693996035&width=800&height=800&crop=center', 'https://cdn.shopify.com/s/files/1/0039/6994/1568/files/6b32d6634dec0c6154b0217ac8192af7_f141a1af-f220-444f-96d3-d70536799ab8.jpg?v=1693996035&width=800&height=800&crop=center', 'https://cdn.shopify.com/oxygen-v2/24658/9071/18525/874632/build/_assets/hand-with-setting-23F6JYZ6.png', 'https://cdn.shopify.com/oxygen-v2/24658/9071/18525/874632/build/_assets/ElongatedCushionShapeStoneSolo-C2FGNMKS.png', 'https://cdn.shopify.com/s/files/1/0039/6994/1568/files/290Q-YG_078_3x_jpg_5fc7f80c-2545-416a-ba03-47d2f83be6c7.webp?v=1690864037&width=800&height=800&crop=center']",2.0mm,0.35 ct,18k Yellow Gold,75% Gold,11.5% Copper,12.5% Silver,1% Zinc,D-F,VVS,High,1.5,D-F,VS,https://keyzarjewelry.com/products/the-zoey-setting-elongated-cushion-18k-yellow-gold-1-5-carat-lab-diamond
The Low Profile Kamellie Set With A 3 Carat Pear Lab Diamond,"$4,510","Set with intricate pave diamonds, The Low Profile Kamellie blends the tastefully modern with a timeless classic. The hidden halo ensures there is sparkle coming in from every angle, highlighting your center stone and making it appear larger. The delicate design flatters the finger, while its low profile makes it practical for even the busiest hands.",3,Pear,14k Yellow Gold,"['https://cdn.shopify.com/s/files/1/0039/6994/1568/files/301Q-ER-PS-YG-G2c_e659b114-f7be-4c57-a841-376f5ba04e19_3x_jpg.webp?v=1691488731&width=800&height=800&crop=center', 'https://cdn.shopify.com/s/files/1/0039/6994/1568/files/301Q-ER-PS-YG-G5d_9537c9d5-67da-491f-9cac-a573a8210570_3x_jpg.webp?v=1691488732&width=800&height=800&crop=center', 'https://cdn.shopify.com/s/files/1/0039/6994/1568/files/f0f00749564a31925aaeddbad37440d4_13fd0eb8-5d60-474d-9e87-1c3220f2c4af.jpg?v=1693928429&width=800&height=800&crop=center', 'https://cdn.shopify.com/s/files/1/0039/6994/1568/files/f0f00749564a31925aaeddbad37440d4_13fd0eb8-5d60-474d-9e87-1c3220f2c4af.jpg?v=1693928429&width=800&height=800&crop=center', 'https://cdn.shopify.com/oxygen-v2/24658/9071/18525/874632/build/_assets/hand-with-setting-23F6JYZ6.png', 'https://cdn.shopify.com/oxygen-v2/24658/9071/18525/874632/build/_assets/PearShapeStoneSolo-KJBN2N2V.png', 'https://cdn.shopify.com/s/files/1/0039/6994/1568/files/301Q-ER-PS-YG-G5b_52d095b8-77c6-49c2-9206-983ac1765226_3x_jpg.webp?v=1691488732&width=800&height=800&crop=center']",1.5mm,0.25 ct,14k Yellow Gold,58.5% Gold,30.5% Copper,6.1% Silver,4.7% Zinc,D-F,VVS,Low,3,D-F,VS,https://keyzarjewelry.com/products/the-low-profile-kamellie-setting-pear-14k-yellow-gold-pave-3-carat-lab-diamond
The Low Profile Kamellie Set With A 2.5 Carat Radiant Lab Diamond,"$3,210","Set with intricate pave diamonds, The Low Profile Kamellie blends the tastefully modern with a timeless classic. The hidden halo ensures there is sparkle coming in from every angle, highlighting your center stone and making it appear larger. The delicate design flatters the finger, while its low profile makes it practical for even the busiest hands.",2.5,Radiant,14k Yellow Gold,"['https://cdn.shopify.com/s/files/1/0039/6994/1568/files/301Q-ER-RAD-YG-G2c_a05f452e-2873-4ddb-8411-0bb6865ae610_3x_jpg.webp?v=1691488802&width=800&height=800&crop=center', 'https://cdn.shopify.com/s/files/1/0039/6994/1568/files/301Q-ER-RAD-YG-G5d_04061e45-59a3-47ab-855d-e21f5363da1c_3x_jpg.webp?v=1691488801&width=800&height=800&crop=center', 'https://cdn.shopify.com/s/files/1/0039/6994/1568/files/f0f00749564a31925aaeddbad37440d4_2043e86d-1a77-4b13-8d27-337f914d4614.jpg?v=1693928440&width=800&height=800&crop=center', 'https://cdn.shopify.com/s/files/1/0039/6994/1568/files/f0f00749564a31925aaeddbad37440d4_2043e86d-1a77-4b13-8d27-337f914d4614.jpg?v=1693928440&width=800&height=800&crop=center', 'https://cdn.shopify.com/oxygen-v2/24658/9071/18525/874632/build/_assets/hand-with-setting-23F6JYZ6.png', 'https://cdn.shopify.com/oxygen-v2/24658/9071/18525/874632/build/_assets/RadiantShapeStoneSolo-Y545I2FE.png', 'https://cdn.shopify.com/s/files/1/0039/6994/1568/files/301Q-ER-RAD-YG-G5b_7366d954-f6a2-4108-9a2d-2d4cbd03b9d3_3x_jpg.webp?v=1691488803&width=800&height=800&crop=center']",1.5mm,0.25 ct,14k Yellow Gold,58.5% Gold,30.5% Copper,6.1% Silver,4.7% Zinc,D-F,VVS,Low,2.5,D-F,VS,https://keyzarjewelry.com/products/the-low-profile-kamellie-setting-radiant-14k-yellow-gold-pave-2-5-carat-lab-diamond
The Zoey Set With A 2.5 Carat Pear Lab Diamond,"$3,510",criss-cross engagement ring,2.5,Pear,14k Rose Gold,"['https://cdn.shopify.com/s/files/1/0039/6994/1568/files/290Q-ER-PS-RG_attKwayCKiN8OHscq_407dfae9-6fea-4b29-bb6c-52e3fcdabc84.jpg?v=1714945184&width=800&height=800&crop=center', 'https://cdn.shopify.com/s/files/1/0039/6994/1568/files/04a8210757202c8a35b61763d052584c_ca940561-b442-4955-af9c-613bef2aba45.jpg?v=1693996008&width=800&height=800&crop=center', 'https://cdn.shopify.com/s/files/1/0039/6994/1568/files/04a8210757202c8a35b61763d052584c_ca940561-b442-4955-af9c-613bef2aba45.jpg?v=1693996008&width=800&height=800&crop=center', 'https://cdn.shopify.com/oxygen-v2/24658/9071/18525/874632/build/_assets/hand-with-setting-23F6JYZ6.png', 'https://cdn.shopify.com/oxygen-v2/24658/9071/18525/874632/build/_assets/PearShapeStoneSolo-KJBN2N2V.png', 'https://cdn.shopify.com/s/files/1/0039/6994/1568/files/290Q-ER-PS-RG_attFslKbBVE0wMgSC_44ee6ea9-bb98-41e6-91b8-d82d1eace5c1.jpg?v=1714945184&width=800&height=800&crop=center']",2.0mm,0.35 ct,14k Rose Gold,58.5% Gold,36.3% Copper,3.7% Silver,1.4% Zinc,D-F,VVS,High,2.5,D-F,VS,https://keyzarjewelry.com/products/the-zoey-setting-pear-14k-rose-gold-2-5-carat-lab-diamond
